year,EL_no,EL_name_general,EL_name_sub,public,value
2018,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,0
2018,4,4 : En institution,Institutions médicales,Indéterminé,
2018,4,4 : En institution,Asile,Indéterminé,0
2018,5,5 : Logement non-conventionnel,SHNA,Indéterminé,1
2018,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,10
2018,5,5 : Logement non-conventionnel,Squats,Indéterminé,11
2018,6,6 : Chez des tiers,Chez des tiers,Indéterminé,
2018,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,162
2018,1,1 : Espace public,Espace public,Mineurs,227
2018,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,18
2018,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,265
2018,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,32
2018,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,
2018,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,267
2018,4,4 : En institution,Institutions médicales,Mineurs,
2018,4,4 : En institution,Asile,Mineurs,0
2018,5,5 : Logement non-conventionnel,SHNA,Mineurs,72
2018,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,11
2018,5,5 : Logement non-conventionnel,Squats,Mineurs,87
2018,6,6 : Chez des tiers,Chez des tiers,Mineurs,
2018,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,619
2018,1,1 : Espace public,Espace public,Total,707
2018,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,598
2018,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,2064
2018,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,128
2018,3,3 : Foyer d'hébergement,Logements de transit,Total,
2018,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,990
2018,4,4 : En institution,Institutions médicales,Total,
2018,4,4 : En institution,Asile,Total,62
2018,5,5 : Logement non-conventionnel,SHNA,Total,333
2018,5,5 : Logement non-conventionnel,Occupations négociées,Total,236
2018,5,5 : Logement non-conventionnel,Squats,Total,1044
2018,6,6 : Chez des tiers,Chez des tiers,Total,
2018,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,4160
2020,1,1 : Espace public,Espace public,Femmes,475
2020,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,42
2020,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,568
2020,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,130
2020,3,3 : Foyer d'hébergement,Logements de transit,Femmes,
2020,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,326
2020,4,4 : En institution,Institutions médicales,Femmes,
2020,4,4 : En institution,Asile,Femmes,3
2020,5,5 : Logement non-conventionnel,SHNA,Femmes,10
2020,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,78
2020,5,5 : Logement non-conventionnel,Squats,Femmes,213
2020,6,6 : Chez des tiers,Chez des tiers,Femmes,
2020,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,1110
2020,1,1 : Espace public,Espace public,Hommes,567
2020,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,456
2020,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,1557
2020,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,113
2020,3,3 : Foyer d'hébergement,Logements de transit,Hommes,
2020,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,398
2020,4,4 : En institution,Institutions médicales,Hommes,
2020,4,4 : En institution,Asile,Hommes,28
2020,5,5 : Logement non-conventionnel,SHNA,Hommes,29
2020,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,305
2020,5,5 : Logement non-conventionnel,Squats,Hommes,524
2020,6,6 : Chez des tiers,Chez des tiers,Hommes,
2020,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,2507
2020,1,1 : Espace public,Espace public,X,
2020,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,
2020,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,
2020,3,3 : Foyer d'hébergement,Maisons d'accueil,X,
2020,3,3 : Foyer d'hébergement,Logements de transit,X,
2020,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,
2020,4,4 : En institution,Institutions médicales,X,
2020,4,4 : En institution,Asile,X,
2020,5,5 : Logement non-conventionnel,SHNA,X,
2020,5,5 : Logement non-conventionnel,Occupations négociées,X,
2020,5,5 : Logement non-conventionnel,Squats,X,
2020,6,6 : Chez des tiers,Chez des tiers,X,
2020,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,
2020,1,1 : Espace public,Espace public,Indéterminé,0
2020,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,0
2020,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,122
2020,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,2
2020,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,
2020,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,3
2020,4,4 : En institution,Institutions médicales,Indéterminé,
2020,4,4 : En institution,Asile,Indéterminé,0
2020,5,5 : Logement non-conventionnel,SHNA,Indéterminé,102
2020,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,536
2020,5,5 : Logement non-conventionnel,Squats,Indéterminé,638
2020,6,6 : Chez des tiers,Chez des tiers,Indéterminé,
2020,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,763
2020,1,1 : Espace public,Espace public,Mineurs,388
2020,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,0
2020,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,400
2020,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,189
2020,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,
2020,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,413
2020,4,4 : En institution,Institutions médicales,Mineurs,
2020,4,4 : En institution,Asile,Mineurs,0
2020,5,5 : Logement non-conventionnel,SHNA,Mineurs,20
2020,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,80
2020,5,5 : Logement non-conventionnel,Squats,Mineurs,120
2020,6,6 : Chez des tiers,Chez des tiers,Mineurs,
2020,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,933
2020,1,1 : Espace public,Espace public,Total,1430
2020,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,498
2020,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,2647
2020,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,434
2020,3,3 : Foyer d'hébergement,Logements de transit,Total,
2020,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,1140
2020,4,4 : En institution,Institutions médicales,Total,
2020,4,4 : En institution,Asile,Total,31
2020,5,5 : Logement non-conventionnel,SHNA,Total,161
2020,5,5 : Logement non-conventionnel,Occupations négociées,Total,999
2020,5,5 : Logement non-conventionnel,Squats,Total,1495
2020,6,6 : Chez des tiers,Chez des tiers,Total,
2020,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,5313
2022,1,1 : Espace public,Espace public,Femmes,277
2022,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,78
2022,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,429
2022,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,207
2022,3,3 : Foyer d'hébergement,Logements de transit,Femmes,20
2022,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,483
2022,4,4 : En institution,Institutions médicales,Femmes,
2022,4,4 : En institution,Asile,Femmes,33
2022,5,5 : Logement non-conventionnel,SHNA,Femmes,76
2022,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,8
2022,5,5 : Logement non-conventionnel,Squats,Femmes,193
2022,6,6 : Chez des tiers,Chez des tiers,Femmes,72
2022,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,1283
2022,1,1 : Espace public,Espace public,Hommes,282
2022,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,600
2022,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,1477
2022,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,94
2022,3,3 : Foyer d'hébergement,Logements de transit,Hommes,15
2022,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,421
2022,4,4 : En institution,Institutions médicales,Hommes,
2022,4,4 : En institution,Asile,Hommes,118
2022,5,5 : Logement non-conventionnel,SHNA,Hommes,482
2022,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,60
2022,5,5 : Logement non-conventionnel,Squats,Hommes,808
2022,6,6 : Chez des tiers,Chez des tiers,Hommes,54
2022,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,3125
2022,1,1 : Espace public,Espace public,X,0
2022,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,0
2022,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,0
2022,3,3 : Foyer d'hébergement,Maisons d'accueil,X,0
2022,3,3 : Foyer d'hébergement,Logements de transit,X,0
2022,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,2
2022,4,4 : En institution,Institutions médicales,X,
2022,4,4 : En institution,Asile,X,0
2022,5,5 : Logement non-conventionnel,SHNA,X,1
2022,5,5 : Logement non-conventionnel,Occupations négociées,X,0
2022,5,5 : Logement non-conventionnel,Squats,X,1
2022,6,6 : Chez des tiers,Chez des tiers,X,0
2022,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,16
2022,1,1 : Espace public,Espace public,Indéterminé,104
2022,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,0
2022,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,232
2022,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,32
2022,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,0
2022,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,33
2022,4,4 : En institution,Institutions médicales,Indéterminé,
2022,4,4 : En institution,Asile,Indéterminé,0
2022,5,5 : Logement non-conventionnel,SHNA,Indéterminé,515
2022,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,795
2022,5,5 : Logement non-conventionnel,Squats,Indéterminé,1310
2022,6,6 : Chez des tiers,Chez des tiers,Indéterminé,158
2022,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,1733
2022,1,1 : Espace public,Espace public,Mineurs,212
2022,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,40
2022,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,264
2022,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,255
2022,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,4
2022,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,534
2022,4,4 : En institution,Institutions médicales,Mineurs,
2022,4,4 : En institution,Asile,Mineurs,4
2022,5,5 : Logement non-conventionnel,SHNA,Mineurs,52
2022,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,56
2022,5,5 : Logement non-conventionnel,Squats,Mineurs,123
2022,6,6 : Chez des tiers,Chez des tiers,Mineurs,10
2022,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,977
2022,1,1 : Espace public,Espace public,Total,875
2022,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,718
2022,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,2402
2022,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,588
2022,3,3 : Foyer d'hébergement,Logements de transit,Total,39
2022,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,1434
2022,4,4 : En institution,Institutions médicales,Total,
2022,4,4 : En institution,Asile,Total,155
2022,5,5 : Logement non-conventionnel,SHNA,Total,1126
2022,5,5 : Logement non-conventionnel,Occupations négociées,Total,919
2022,5,5 : Logement non-conventionnel,Squats,Total,2435
2022,6,6 : Chez des tiers,Chez des tiers,Total,294
2022,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,7134
2024,1,1 : Espace public,Espace public,Femmes,346
2024,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Femmes,88
2024,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Femmes,434
2024,3,3 : Foyer d'hébergement,Maisons d'accueil,Femmes,235
2024,3,3 : Foyer d'hébergement,Logements de transit,Femmes,6
2024,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Femmes,525
2024,4,4 : En institution,Institutions médicales,Femmes,0
2024,4,4 : En institution,Asile,Femmes,76
2024,5,5 : Logement non-conventionnel,SHNA,Femmes,208
2024,5,5 : Logement non-conventionnel,Occupations négociées,Femmes,110
2024,5,5 : Logement non-conventionnel,Squats,Femmes,397
2024,6,6 : Chez des tiers,Chez des tiers,Femmes,17
2024,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Femmes,1991
2024,1,1 : Espace public,Espace public,Hommes,668
2024,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Hommes,908
2024,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Hommes,1576
2024,3,3 : Foyer d'hébergement,Maisons d'accueil,Hommes,210
2024,3,3 : Foyer d'hébergement,Logements de transit,Hommes,8
2024,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Hommes,541
2024,4,4 : En institution,Institutions médicales,Hommes,0
2024,4,4 : En institution,Asile,Hommes,136
2024,5,5 : Logement non-conventionnel,SHNA,Hommes,383
2024,5,5 : Logement non-conventionnel,Occupations négociées,Hommes,164
2024,5,5 : Logement non-conventionnel,Squats,Hommes,881
2024,6,6 : Chez des tiers,Chez des tiers,Hommes,24
2024,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Hommes,4760
2024,1,1 : Espace public,Espace public,X,1
2024,2,2 : Dispositifs d'urgence,Hébergement d'urgence,X,0
2024,2,2 : Dispositifs d'urgence,Plateforme citoyenne,X,1
2024,3,3 : Foyer d'hébergement,Maisons d'accueil,X,0
2024,3,3 : Foyer d'hébergement,Logements de transit,X,0
2024,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,X,0
2024,4,4 : En institution,Institutions médicales,X,0
2024,4,4 : En institution,Asile,X,0
2024,5,5 : Logement non-conventionnel,SHNA,X,5
2024,5,5 : Logement non-conventionnel,Occupations négociées,X,0
2024,5,5 : Logement non-conventionnel,Squats,X,5
2024,6,6 : Chez des tiers,Chez des tiers,X,0
2024,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,X,38
2024,1,1 : Espace public,Espace public,Indéterminé,0
2024,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Indéterminé,0
2024,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Indéterminé,0
2024,3,3 : Foyer d'hébergement,Maisons d'accueil,Indéterminé,14
2024,3,3 : Foyer d'hébergement,Logements de transit,Indéterminé,0
2024,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Indéterminé,14
2024,4,4 : En institution,Institutions médicales,Indéterminé,17
2024,4,4 : En institution,Asile,Indéterminé,50
2024,5,5 : Logement non-conventionnel,SHNA,Indéterminé,626
2024,5,5 : Logement non-conventionnel,Occupations négociées,Indéterminé,308
2024,5,5 : Logement non-conventionnel,Squats,Indéterminé,1029
2024,6,6 : Chez des tiers,Chez des tiers,Indéterminé,6
2024,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Indéterminé,1310
2024,1,1 : Espace public,Espace public,Mineurs,448
2024,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Mineurs,76
2024,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Mineurs,524
2024,3,3 : Foyer d'hébergement,Maisons d'accueil,Mineurs,266
2024,3,3 : Foyer d'hébergement,Logements de transit,Mineurs,0
2024,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Mineurs,548
2024,4,4 : En institution,Institutions médicales,Mineurs,94
2024,4,4 : En institution,Asile,Mineurs,95
2024,5,5 : Logement non-conventionnel,SHNA,Mineurs,231
2024,5,5 : Logement non-conventionnel,Occupations négociées,Mineurs,101
2024,5,5 : Logement non-conventionnel,Squats,Mineurs,337
2024,6,6 : Chez des tiers,Chez des tiers,Mineurs,30
2024,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Mineurs,1678
2024,1,1 : Espace public,Espace public,Total,1463
2024,2,2 : Dispositifs d'urgence,Hébergement d'urgence,Total,1072
2024,2,2 : Dispositifs d'urgence,Plateforme citoyenne,Total,2535
2024,3,3 : Foyer d'hébergement,Maisons d'accueil,Total,725
2024,3,3 : Foyer d'hébergement,Logements de transit,Total,14
2024,3,3 : Foyer d'hébergement,Dispositifs sociaux en hôtel,Total,1628
2024,4,4 : En institution,Institutions médicales,Total,111
2024,4,4 : En institution,Asile,Total,357
2024,5,5 : Logement non-conventionnel,SHNA,Total,1453
2024,5,5 : Logement non-conventionnel,Occupations négociées,Total,683
2024,5,5 : Logement non-conventionnel,Squats,Total,2649
2024,6,6 : Chez des tiers,Chez des tiers,Total,77
2024,7,7 : Sous menace d'expulsion,Sous menace d'expulsion,Total,9777
